Choice,Type,Price
Taipei 101 Observatory,Attraction,600
Juming Museum,Attraction,350
National Palace Museum,Attraction,350
Miniatures Museum of Taiwan,Attraction,250
Maokong Gondola (round trip),Attraction,240
Lover's Tower,Attraction,220
Miramar Entertainment Park Ferris Wheel,Attraction,200
National Museum of Marine Science & Technology,Attraction,200
Sky Lantern Police Station Electric Sky Lantern ,Attraction,200
Taipei Children's Amusement Park,Attraction,150
Beitou Museum,Attraction,120
Tamsui <-> Fisherman's Wharf Ferry (round trip),Attraction,120
Yehliu Geopark,Attraction,120
Main Building of Chiang Kai-Shek Shilin Residence,Attraction,100
Museum of Contemporary Art Taipei ,Attraction,100
National Taiwan Museum Railway Department Park,Attraction,100
Gold Museum,Attraction,80
Heping Island Park,Attraction,80
Tamsui Historical Museum,Attraction,80
The Lin Family Mansion and Garden,Attraction,80
Taipei Zoo,Attraction,60
National Taiwan Museum Main Hall,Attraction,30
National Taiwan Museum Namen Branch,Attraction,30
Taipei Fine Art Museum,Attraction,30
National Taiwan Museum Land Bank Outpost Exhibition Hall,Attraction,20
Yoshan Tea - Century-old Taiwanese Bubble Tea DIY,Cultural Experience,650
Secret Tunnel experience & drinks in the Grand Hotel,Cultural Experience,450
Tea bag DIY in Maokong,Cultural Experience,250
Sky Lantern Experience in Pingxi,Cultural Experience,200
